"","Date","Ticker","DA_ROI","VA_ROI","GA_ROI","DA_Value","VA_Value_Required","GA_Value","VA_Over_400","GA_Over_400","VA_Over_300","GA_Over_300","VA_Over_200","GA_Over_200","DA_Sharpe_Ratio","VA_Sharpe_Ratio","GA_Sharpe_Ratio"
"59","2002+5","DIA",24.5305818917519,28.916670044998,25.658668290368,7471.83491350511,6000,6931.51662819878,0,0,0,0,0,0,0.724327950006622,0.826099574301247,0.745243815700792
"60","2003+5","DIA",23.6573538423438,26.9718486862125,24.4798811152023,7419.44123054063,6000,6930.48144605321,0,0,0,0,0,0,1.64191337656443,1.51445133112632,1.61055701309028
"61","2004+5","DIA",-21.9778749268379,-18.5585018707575,-20.6281956225161,4681.32750438973,6000,5065.82887906791,0,0,0,0,0,0,0.557008405382113,0.632476508363847,0.583341166935526
"62","2005+5","DIA",-3.61933004982737,-0.966349533853624,-3.20854268297742,5782.84019701036,6000,5706.24964357016,0,0,0,0,0,0,0.0143268569530424,0.129004805442832,0.0445555381076311
"63","2006+5","DIA",6.98453479957281,10.6452926357023,7.6393568238937,6419.07208797437,6000,6057.89929689887,0,0,0,0,0,0,-0.248221478500128,-0.13050635379109,-0.224536739993101
"64","2007+5","DIA",11.6801036758385,15.448355359552,12.3067898481514,6700.80622055031,6000,6319.79959124607,0,0,0,0,0,0,-0.259045075972681,-0.116550892067702,-0.23378172006
"65","2008+5","DIA",19.9992034765316,24.3587970670229,20.8864051787116,7199.95220859189,6000,6722.98249533916,0,0,0,0,0,0,0.383181140533133,0.516243419418877,0.418339103997994
"66","2009+5","DIA",44.0579098474399,57.4974845830182,46.678833373531,8643.47459084639,6000,7796.40103377675,0,0,0,0,0,0,2.00943266108369,1.85464951139716,1.98397605192874
"67","2010+5","DIA",35.4461796305701,43.5491550547485,37.3827948485744,8126.7707778342,6000,7440.22888912749,0,0,0,0,0,0,1.40041690165676,1.36638705973959,1.39093475595162
"68","2011+5","DIA",19.5056088116017,22.3771901341573,20.5327298871158,7170.3365286961,6000,6726.8416454403,0,0,0,0,1,0,1.3213632300287,1.32888715296513,1.32350880570724
"69","2012+5","DIA",24.8737668127879,29.8076143917994,26.4203021392881,7492.42600876727,6000,6920.42175482961,0,0,0,0,0,0,1.74200288407219,1.71879038728507,1.73844335375421
"70","2013+5","DIA",40.9190263848853,53.4382426934669,43.2357892665743,8455.14158309312,6000,7682.46119750844,0,0,0,0,0,0,1.20717400286152,1.1147842895269,1.19404024109135
"71","2014+5","DIA",20.473063375491,23.7601366772261,20.8099786406618,7228.38380252946,6000,6918.52060559288,1,0,1,0,1,1,0.987394267636085,0.965688591299365,0.988975019837727
"72","2015+5","DIA",34.8729277023217,43.6426741688739,36.8261679912583,8092.3756621393,6000,7473.36442505283,0,0,0,0,0,0,1.19803916981858,1.19655567265146,1.20251102572208
"73","2016+5","DIA",32.6925560651136,45.4454199959371,36.1447381240599,7961.55336390682,6000,7319.0140735815,0,0,0,0,0,0,1.8908271698316,1.78334740511739,1.87421342566323
"74","2017+5","DIA",38.6579813765433,54.6860488274205,43.5645452607022,8319.4788825926,6000,7394.38592098634,0,0,0,0,0,0,1.19416363358833,1.09568758637224,1.16589096676138
"75","2018+5","DIA",16.3298550722873,23.394856780782,18.142272949666,6979.79130433724,6000,6614.49821955121,0,0,1,0,1,0,0.898266701948758,0.957973696433637,0.928884129158176
"76","2019+5","DIA",15.6206103496301,21.0646355311641,16.7992924639509,6474.75417957929,5600,6204.87011597467,0,0,0,0,1,0,1.06595925910059,1.1616286137855,1.10664371324057
"77","2010+5","VOO",38.051140305519,46.9047820996424,40.1434767078058,7178.65929588699,5200,6510.05143374591,0,0,0,0,0,0,1.1624208265869,1.13888955194323,1.15519558035303
"78","2011+5","VOO",27.1525962844741,31.3772140693425,28.6679825627227,7629.15577706844,6000,6989.07185848801,0,0,0,0,1,0,1.2389454814183,1.24478999922908,1.24041622205352
"79","2012+5","VOO",25.8428792192804,29.9640771065366,27.1151395655059,7550.57275315683,6000,6969.35667593972,0,0,0,0,0,0,1.84892894877724,1.81020249033613,1.84162486552958
"80","2013+5","VOO",33.4092452871469,40.8207574502746,34.7650032988025,8004.55471722881,6000,7385.19026087346,0,0,0,0,0,0,1.74807365480555,1.62864205300087,1.73236745914554
"81","2014+5","VOO",12.8144412147902,14.8070191986307,13.0100898103903,6768.86647288741,6000,6602.36267847831,1,0,1,1,1,1,1.13646224032613,1.11329550554066,1.13831262407395
"82","2015+5","VOO",33.9662001185721,43.2013996180179,35.8711779873305,8037.97200711433,6000,7508.91258865324,0,0,0,0,0,0,1.18994384164783,1.1825536318334,1.19239308255262
"83","2016+5","VOO",42.6176097372829,62.4811850493556,46.3522423755355,8557.05658423698,6000,7971.1998808739,0,0,0,0,0,0,1.65263883965768,1.41889331939121,1.60188272893718
"84","2017+5","VOO",58.2439283524315,91.658543262908,64.8878851298772,9494.63570114589,6000,8546.29881771312,0,0,0,0,0,0,1.02477613010942,0.915118972288404,1.00210259930335
"85","2018+5","VOO",15.0995872256609,20.847560953394,16.7835707242899,6905.97523353966,6000,6671.48804502717,1,0,1,0,1,1,1.01446307162453,1.00485457003695,1.02234670485912
"86","2019+5","VOO",25.101755344828,33.0619632741265,26.992654482862,7005.69829931037,5600,6638.16223544936,0,0,0,0,0,0,1.27388340387779,1.27687688185146,1.2845821567362
"87","2003+5","FNCMX",18.7761059373101,23.2461628519846,NA,7126.56635623861,6000,NA,0,0,0,0,1,0,0.606704657673918,0.709144451276154,NA
"88","2004+5","FNCMX",-29.3557830594284,-23.1324893788352,-26.7736921140094,4238.6530164343,6000,4803.27763865633,0,0,0,0,0,0,0.463271261333559,0.624450979117611,0.516945824008116
"89","2005+5","FNCMX",4.78128643765996,10.5430535716414,6.6518100932466,6286.8771862596,6000,6101.41710174686,0,0,0,0,0,0,0.0045745000004707,0.183124695099715,0.0591573758754069
"90","2006+5","FNCMX",20.6626848874645,31.6755210607824,23.9083849996148,7239.76109324787,6000,6515.52980099101,0,0,0,0,0,0,-0.135264025659114,0.0812846429686137,-0.0664886473598369
"91","2007+5","FNCMX",15.3395799966029,22.1722319392493,17.3669083764992,6920.37479979617,6000,6336.35075254314,0,0,0,0,0,0,0.0762641950092909,0.285423320330655,0.150851469307251
"92","2008+5","FNCMX",30.7539055886637,40.6344546943644,33.0812614156311,7845.23433531982,6000,7062.81570951003,0,0,0,0,0,0,0.702199832750028,0.842725922291189,0.764582226035949
"93","2009+5","FNCMX",63.3083036420918,95.6843001356447,68.6539717696031,9798.49821852551,6000,8475.48851888642,0,0,0,0,0,0,2.03396393460544,1.70554705815511,1.98421705487444
"94","2010+5","FNCMX",54.240977839572,75.3124269274484,57.0689106673091,9254.45867037432,6000,8327.43778757941,0,0,0,0,1,0,1.24618259584225,1.16450176470305,1.23834770964452
"95","2011+5","FNCMX",39.938021712444,49.7578854674376,42.1883828592546,8396.28130274664,6000,7681.87258045733,0,0,1,0,1,0,1.21213235493698,1.19701350719896,1.21404455899419
"96","2012+5","FNCMX",32.7827075262954,39.7400704472738,33.8741999841942,7966.96245157772,6000,7546.92538423227,0,0,0,0,0,0,1.67544395964893,1.6323588863507,1.67308698545779
"97","2013+5","FNCMX",46.7611896765768,62.1481659624461,49.0716020296525,8805.67138059461,6000,8228.12039571167,0,0,0,0,0,0,1.72867703734453,1.5191118529584,1.69278064401455
"98","2014+5","FNCMX",20.683119013178,24.6222293616944,20.8698350115498,7240.98714079068,6000,7138.86990021451,1,0,1,1,1,1,1.12227097898261,1.06057911310777,1.1169157066084
"99","2015+5","FNCMX",41.0254896046252,55.027037774556,42.8264718856379,8461.52937627751,6000,8107.84781965839,0,0,0,0,0,0,1.19921087329043,1.18446204046142,1.20430135469316
"100","2016+5","FNCMX",78.3483385372648,153.303674681892,84.6602314528507,10700.9003122359,6000,9920.33231786789,0,0,0,0,0,0,1.44500587711192,1.06712286835529,1.39833362393468
"101","2017+5","FNCMX",78.9793724708448,144.598172359839,86.6633393459022,10738.7623482507,6000,9838.23624690016,0,0,0,0,0,0,1.05574788571203,0.888972589687382,1.03252038117734
"102","2018+5","FNCMX",5.40651381001041,9.65823639810913,6.2345304786023,6324.39082860062,6000,6396.24963292792,1,0,1,0,1,1,0.994226567488809,0.94988588279407,0.995873179878877
"103","2019+5","FNCMX",28.9309447359384,40.2509792939561,30.8252576098532,7220.13290521255,5600,6953.37813946568,0,0,0,0,1,0,1.17240768649447,1.15030463787442,1.17233621494891
